EPHE;0.950000
EPI;1.000000
EPOL;0.990000
EPP;1.000000
EPRO;0.980000
EPS;1.000000
EPU;0.970000
EQAL;1.000000
EQL;1.000000
EQLT;0.930000
EQWL;0.920000
EQWM;1.000000
EQWS;0.960000
ERUS;0.930000
ERW;1.000000
ESGD;1.000000
ESGE;1.000000
ESGU;1.000000
ETHO;0.970000
EUDG;0.950000
EUDV;0.840000
EUFN;1.000000
EUMV;0.940000
EUSA;0.900000
EUSC;0.940000
EVX;0.970000
EWA;0.900000
EWC;0.970000
EWD;1.000000
EWEM;0.910000
EWG;0.950000
EWGS;0.960000
EWH;1.000000
EWI;1.000000
EWJ;0.970000
EWK;0.740000
EWL;0.910000
EWM;0.900000
EWMC;0.980000
EWN;0.810000
EWO;1.000000
EWP;1.000000
EWQ;1.000000
EWRE;1.000000
EWRI;0.830000
EWRM;1.000000
EWRS;0.850000
EWS;0.920000
EWSC;1.000000
EWT;0.880000
EWU;0.950000
EWUS;1.000000
EWW;0.850000
EWX;0.920000
EWY;0.940000
EWZ;0.950000
EWZS;0.950000
EXI;1.000000
EXT;0.930000
EZA;0.930000
EZM;0.910000
EZU;0.930000
EZY;0.890000
FAB;0.950000
FAD;0.990000
FALN;1.000000
FAN;1.000000
FAUS;1.000000
FBND;1.000000
FBT;0.990000
FBZ;1.000000
FCA;0.830000
FCAN;0.940000
FCFI;0.980000
FCG;0.980000
FCOR;0.980000
FCVT;1.000000
FDD;1.000000
FDIS;1.000000
FDIV;0.890000
FDL;1.000000
FDM;0.920000
FDN;0.930000
FDT;1.000000
FEM;0.980000
FEMB;0.950000
FEMS;0.910000
FENY;0.950000
FEP;0.980000
FEU;0.980000
FEUZ;1.000000
FEX;1.000000
FEZ;1.000000
FFR;1.000000
FFTY;0.850000
FGD;0.930000
FGM;0.960000
FHK;1.000000
FHLC;0.960000
FIA;1.000000
FIBR;1.000000
FIDU;1.000000
FILL;0.860000
FIW;0.900000
FJP;1.000000
FKO;0.910000
FKU;1.000000
FLAG;0.900000
FLM;0.820000
FLN;1.000000
FLOT;0.970000
FLRN;0.830000
FLRT;0.770000
FLTB;1.000000
FLTR;0.920000
FM;0.860000
FMAT;0.890000
FMB;0.820000
FMF;0.960000
FMK;0.810000
FNCF;0.890000
FNCL;1.000000
FNDA;0.920000
FNDB;0.970000
FNDC;0.770000
FNDE;1.000000
FNDF;0.910000
FNDX;0.980000
FNI;0.730000
FNK;0.880000
FNX;0.880000
FNY;1.000000
FONE;0.870000
FORX;1.000000
FPA;1.000000
FPE;0.980000
FPX;1.000000
FPXI;0.920000
FRAK;0.910000
FREL;0.900000
FRI;0.970000
FRN;0.880000
FSTA;0.910000
FSZ;1.000000
FTA;1.000000
FTAG;0.920000
FTC;0.880000
FTCS;0.980000
FTEC;1.000000
FTGC;1.000000
FTHI;1.000000
FTLB;1.000000
FTLS;1.000000
FTRI;1.000000
FTSD;1.000000
FTSL;0.950000
FTW;0.950000
FUT;1.000000
FUTY;1.000000
FV;0.900000
FVD;0.900000
FVI;1.000000
FVL;0.940000
FWDB;0.940000
FWDD;1.000000
FWDI;1.000000
FXA;1.000000
FXB;0.920000
FXC;1.000000
FXCH;0.900000
FXD;0.970000
FXE;0.930000
