AADR,[1.6837565488001007, 3.7904100856900023, 3.6983525430975663]
AAXJ,[3.4904315958874834, 3.8828734553505977, 3.7095225629497026]
ACIM,[7.118431428519789, 3.981079826365819, 3.9212179116425734]
ACTX,[3.071576920085208, 3.8573263021126225, 3.927081438011308]
ACWF,[2.349103132581187, 3.828918769788925, 3.651287225894313]
ACWI,[3.140419344470786, 3.968509115495859, 3.7127602721216673]
ACWV,[3.6013207893078114, 3.925978219789663, 3.7941411961891576]
ACWX,[1.6781729244303396, 3.8604395846375152, 3.6649520003538703]
ADRA,[3.2888606920054366, 3.8251275143203554, 3.904370482948461]
ADRD,[3.7578299809108113, 3.6763743755374585, 3.6930890815338446]
ADRE,[3.319283247703088, 3.8682526091239176, 3.9311594715429408]
ADRU,[3.5091293952271654, 3.9702294803120095, 3.769582206703912]
AFK,[4.699687930846048, 3.697524100116372, 3.6462240886549457]
AFTY,[4.75442208325036, 3.8147163849086954, 3.9841930969161914]
AGG,[3.9079379787440263, 3.901237042216055, 3.759697663728203]
AGND,[3.6259560353059177, 3.7334728596951168, 3.92174333172424]
AGT,[3.6424625144614144, 3.92490252078786, 3.9009736881125705]
AGZ,[2.9331947908717972, 3.9093947408856007, 3.9980235835684144]
AGZD,[0.1371711723668256, 3.901638705719965, 3.6645962945973296]
AIA,[6.492355522931245, 3.9595623630535672, 3.728467509632451]
AIRR,[3.3227299109371424, 3.903806491649624, 3.626345997486221]
ALD,[1.6617632179276884, 3.898609436107896, 3.704829818204336]
ALFA,[3.8020946314243744, 3.7314103390140945, 3.7955808250337566]
ALFI,[0.15327055089082, 3.8369850928995457, 3.6481098397086926]
ALTY,[4.907229349424255, 3.9596152948622, 3.769108816779173]
AMLP,[3.2202535520361186, 3.941841295465754, 3.824718362869634]
AMZA,[6.893408694113621, 3.724059260084844, 3.8782845621566455]
AND,[3.4160096620317097, 3.9223980084450782, 3.6723008237826904]
ANGL,[3.1745752402537226, 3.8578710745079374, 3.8945896734842513]
AOA,[2.8455793332051957, 3.9272389264079695, 3.601616547748152]
AOK,[4.743865699190966, 3.8315014177420066, 3.9591571235673904]
AOM,[3.147091389682397, 3.974256678314632, 3.668930330434099]
AOR,[3.649078865586599, 3.8766414040129713, 3.6110606667265426]
ARGT,[1.9496994093335664, 3.861832048128601, 3.804353113734434]
ARKG,[3.4358735239833234, 3.882063260585636, 3.992051466389957]
ARKK,[3.3484884866474047, 3.859047158782361, 3.6839274740020302]
ARKQ,[3.5428149149167325, 3.9390068580325504, 3.7081851861895694]
ARKW,[3.1424693230756175, 3.856845237709998, 3.7660223526653]
ASEA,[4.801924707974124, 3.986731267055853, 3.9309852499348863]
AUNZ,[3.3619435483947444, 3.930723353648704, 3.634961889088822]
AUSE,[3.2410295856358693, 3.9665283459770495, 3.8189662604272994]
AXJL,[3.749214736977589, 3.9583211658853146, 3.723965500248596]
AXJV,[6.562426919955303, 3.7908858386797464, 3.699387554398637]
BAB,[2.809977521474309, 3.8891588516415982, 3.653890014279241]
BBH,[3.0276927162235556, 3.865473429356767, 3.675539832435899]
BBRC,[2.2222861639050135, 3.9916727589163696, 3.781278546071264]
BFOR,[3.60279365693752, 3.8608117948216254, 3.756094564330856]
BICK,[1.7662705907998797, 3.7785705946631634, 3.622787649985933]
BIGD,[3.711516468277911, 3.818510665608624, 3.724284798067595]
BIK,[3.246722487030995, 3.7240779994505617, 3.7622924417428094]
BIL,[3.0484309759202093, 3.6722157476077353, 3.7825076610756065]
BIV,[3.217657997368528, 3.9969757358515583, 3.925757640734824]
BIZD,[3.706610525004252, 3.6931989050298264, 3.8960656276987033]
BJK,[4.371593195364133, 3.9872094294581695, 3.7080257850572327]
BKF,[3.6738527108346615, 3.7902470050651584, 3.700368605690475]
BKLN,[3.998943603001545, 3.688677994899319, 3.8642233862022666]
BLV,[3.0449568753952345, 3.7468612777251247, 3.6051428876374834]
BND,[3.7364770955504265, 3.8304583749668626, 3.9741262252852354]
BNDS,[3.7369586801824504, 3.9445132470371616, 3.9532506799134306]
BNDX,[0.2086435661275808, 3.7524470077807695, 3.740405218448312]
BOND,[3.32833087527008, 3.76324281841465, 3.764738793703711]
BRAQ,[3.3902347917115887, 3.8715759742939753, 3.760285381870139]
BRAZ,[3.1397901354503914, 3.864614724399839, 3.863075751345375]
BRF,[3.568444981703016, 3.8250925753224, 3.802716086998384]
BSCH,[3.157769517928911, 3.9747129970274626, 3.6842045504344383]
BSCI,[3.6707036627879392, 3.9544001970365152, 3.8007846115917134]
BSCJ,[3.6008346974361833, 3.992997933623229, 3.8783731716951135]
BSCK,[3.3394777051814497, 3.8862534434856646, 3.7679236780598058]
BSCL,[2.118681935231345, 3.8115352769495954, 3.656812396357485]
BSCM,[3.933701242636612, 3.953357115656977, 3.636878935148296]
BSCN,[3.30120815795771, 3.8773376223691, 3.9340289748701425]
BSCO,[3.6026633370987873, 3.9512308285485664, 3.916513881959707]
BSCP,[6.5428597799360215, 3.6473252895496766, 3.7107734969292414]
BSJG,[6.876578505234195, 3.682795602432329, 3.649356318290291]
BSJH,[3.6787587853419983, 3.882132876918352, 3.898629934047263]
BSJI,[7.081069391350123, 3.6698501726774295, 3.7041196372519103]
BSJJ,[3.390953524469344, 3.6609916221411622, 3.660121298546764]
BSJK,[3.3240805782149816, 3.879382915323629, 3.9489776420703926]
BSJL,[1.467194714365598, 3.860589670372821, 3.7415339144188606]
BSJM,[3.520199131510626, 3.8373173805243934, 3.9857355757578192]
BSJN,[0.0429967098487576, 3.9398891496362785, 3.661466529126204]
