Date,Open,High,Low,Close,Volume,Adj Close
2011-09-01,8.495,8.8675,8.0625,8.5275,649200,8.5275
2011-08-01,9.08,9.085,7.71,8.43,844100,8.43
2011-07-01,9.0625,9.53,8.92,9.0375,604500,9.0375
2011-06-01,9.2975,9.30,8.6925,9.0625,546500,9.0625
2011-05-02,9.20,9.47,8.9975,9.2675,711100,9.2675
2011-04-01,9.35,9.46,8.975,9.16,534100,9.16
2011-03-01,9.58,9.675,8.99,9.33,674900,9.33
2011-02-01,9.365,9.90,9.36,9.57,919400,9.57
2011-01-03,9.485,9.90,9.295,9.3475,827800,9.3475
2010-12-01,9.045,9.61,8.9875,9.455,501300,9.455
2010-11-01,8.51,9.09,8.45,9.0275,744100,9.0275
2010-10-01,8.3475,8.56,8.235,8.49,607400,8.49
2010-09-01,8.28,8.7275,8.2375,8.3675,642200,8.3675
2010-08-02,8.47,8.565,8.1225,8.255,557900,8.255
2010-07-01,8.42,8.65,8.0125,8.4075,681600,8.4075
2010-06-01,8.8375,9.115,8.42,8.485,810500,8.485
2010-05-03,8.9925,9.31,8.395,8.84,1692700,8.84
2010-04-01,8.6875,9.1325,8.65,9.03,1108900,9.03
2010-03-01,8.1225,8.82,8.105,8.65,944900,8.65
2010-02-01,7.74,8.205,7.69,8.0625,1018200,8.0625
2010-01-04,7.88,8.095,7.70,7.7625,760000,7.7625
2009-12-01,7.285,7.9175,7.275,7.8375,779700,7.8375
2009-11-02,7.04,7.46,7.0075,7.245,754000,7.245
2009-10-01,7.21,7.375,6.95,7.085,907300,7.085
2009-09-01,7.1125,7.3325,6.95,7.2625,681300,7.2625
2009-08-03,6.95,7.245,6.895,7.07,493900,7.07
2009-07-01,6.55,7.09,6.24,6.9475,771300,6.9475
2009-06-01,6.49,6.88,6.315,6.52,533400,6.52
2009-05-04,6.605,6.98,6.31,6.398,768400,6.398
2009-04-01,6.02,6.695,5.90,6.682,701600,6.682
2009-03-02,5.815,6.195,5.305,5.964,978500,5.964
2009-02-02,6.67,6.75,5.765,5.815,860800,5.815
2009-01-02,6.28,7.08,6.25,6.504,676300,6.504
2008-12-01,7.00,7.11,6.00,6.23,760000,6.23
2008-11-03,7.635,7.88,5.98,6.952,822600,6.952
2008-10-01,8.20,8.37,6.40,7.573,1166100,7.573
2008-09-01,8.735,9.025,7.865,8.09,1304400,8.09
2008-08-01,8.18,8.97,8.005,8.769,661800,8.769
2008-07-01,8.16,8.30,7.40,8.248,887200,8.248
2008-06-02,9.17,9.17,8.055,8.15,693000,8.15
2008-05-02,9.00,9.30,8.69,9.007,579000,9.007
2008-04-01,8.40,8.99,8.30,8.99,604500,8.99
2008-03-03,8.87,8.87,7.96,8.334,576400,8.334
2008-02-01,9.26,9.50,8.82,8.84,653900,8.84
